threshold,all_linear_sparse,giraffes_linear_sparse,zebras_linear_sparse,all_linear_non_sparse,giraffes_linear_non_sparse,zebras_linear_non_sparse,all_linear_non_zero,giraffes_linear_non_zero,zebras_linear_non_zero,all_linear_abv_mean,giraffes_linear_abv_mean,zebras_linear_abv_mean,all_ridge_sparse,giraffes_ridge_sparse,zebras_ridge_sparse,all_ridge_non_sparse,giraffes_ridge_non_sparse,zebras_ridge_non_sparse,all_ridge_non_zero,giraffes_ridge_non_zero,zebras_ridge_non_zero,all_ridge_abv_mean,giraffes_ridge_abv_mean,zebras_ridge_abv_mean,all_lasso_sparse,giraffes_lasso_sparse,zebras_lasso_sparse,all_lasso_non_sparse,giraffes_lasso_non_sparse,zebras_lasso_non_sparse,all_lasso_non_zero,giraffes_lasso_non_zero,zebras_lasso_non_zero,all_lasso_abv_mean,giraffes_lasso_abv_mean,zebras_lasso_abv_mean,all_svr_sparse,giraffes_svr_sparse,zebras_svr_sparse,all_svr_non_sparse,giraffes_svr_non_sparse,zebras_svr_non_sparse,all_svr_non_zero,giraffes_svr_non_zero,zebras_svr_non_zero,all_svr_abv_mean,giraffes_svr_abv_mean,zebras_svr_abv_mean,all_dtree_regressor_sparse,giraffes_dtree_regressor_sparse,zebras_dtree_regressor_sparse,all_dtree_regressor_non_sparse,giraffes_dtree_regressor_non_sparse,zebras_dtree_regressor_non_sparse,all_dtree_regressor_non_zero,giraffes_dtree_regressor_non_zero,zebras_dtree_regressor_non_zero,all_dtree_regressor_abv_mean,giraffes_dtree_regressor_abv_mean,zebras_dtree_regressor_abv_mean,all_linear_sparse_err,giraffes_linear_sparse_err,zebras_linear_sparse_err,all_linear_non_sparse_err,giraffes_linear_non_sparse_err,zebras_linear_non_sparse_err,all_linear_non_zero_err,giraffes_linear_non_zero_err,zebras_linear_non_zero_err,all_linear_abv_mean_err,giraffes_linear_abv_mean_err,zebras_linear_abv_mean_err,all_ridge_sparse_err,giraffes_ridge_sparse_err,zebras_ridge_sparse_err,all_ridge_non_sparse_err,giraffes_ridge_non_sparse_err,zebras_ridge_non_sparse_err,all_ridge_non_zero_err,giraffes_ridge_non_zero_err,zebras_ridge_non_zero_err,all_ridge_abv_mean_err,giraffes_ridge_abv_mean_err,zebras_ridge_abv_mean_err,all_lasso_sparse_err,giraffes_lasso_sparse_err,zebras_lasso_sparse_err,all_lasso_non_sparse_err,giraffes_lasso_non_sparse_err,zebras_lasso_non_sparse_err,all_lasso_non_zero_err,giraffes_lasso_non_zero_err,zebras_lasso_non_zero_err,all_lasso_abv_mean_err,giraffes_lasso_abv_mean_err,zebras_lasso_abv_mean_err,all_svr_sparse_err,giraffes_svr_sparse_err,zebras_svr_sparse_err,all_svr_non_sparse_err,giraffes_svr_non_sparse_err,zebras_svr_non_sparse_err,all_svr_non_zero_err,giraffes_svr_non_zero_err,zebras_svr_non_zero_err,all_svr_abv_mean_err,giraffes_svr_abv_mean_err,zebras_svr_abv_mean_err,all_dtree_regressor_sparse_err,giraffes_dtree_regressor_sparse_err,zebras_dtree_regressor_sparse_err,all_dtree_regressor_non_sparse_err,giraffes_dtree_regressor_non_sparse_err,zebras_dtree_regressor_non_sparse_err,all_dtree_regressor_non_zero_err,giraffes_dtree_regressor_non_zero_err,zebras_dtree_regressor_non_zero_err,all_dtree_regressor_abv_mean_err,giraffes_dtree_regressor_abv_mean_err,zebras_dtree_regressor_abv_mean_err
40,1851.025,138.25,1723.8194444444446,3193.296,179.55555555555554,3018.7241379310344,3536.0388349514565,176.25,3381.726315789473,3357.518181818182,183.75,3183.2352941176473,3266.7105263157896,177.77777777777774,3102.4,3254.24,179.55555555555554,3080.3017241379307,3336.0,177.77777777777774,3170.915887850467,3273.8813559322034,200.0,3077.745454545455,3620.930232558139,176.8,3468.3529411764707,3620.930232558139,176.8,3468.3529411764707,3620.930232558139,176.8,3468.3529411764707,3620.930232558139,176.8,3468.3529411764707,3620.930232558139,176.8,3468.3529411764707,3620.930232558139,176.8,3468.3529411764707,3620.930232558139,176.8,3468.3529411764707,3620.930232558139,176.8,3468.3529411764707,3146.2184873949577,221.7142857142857,2932.3125,3236.6972477064223,217.14285714285717,3023.058823529412,3270.818181818182,196.0,3062.563106796117,3112.1964285714284,179.44444444444446,2944.0776699029125,48.866712707182316,21.892655367231637,50.293556965269765,11.787403314917132,-1.443816698053979,12.954897983534186,2.319369200236009,0.423728813559322,2.4877071571662883,7.250878955298845,-3.8135593220338984,8.21120835877603,9.75937772608316,-0.4394224733207588,10.54209919261822,10.103867403314922,-1.443816698053979,11.179304378952402,7.845303867403314,-0.4394224733207588,8.566439219998074,9.561288510160127,-12.994350282485875,11.253014574813877,-0.025697031992786425,0.11299435028247945,-0.010177081213111937,-0.025697031992786425,0.11299435028247945,-0.010177081213111937,-0.025697031992786425,0.11299435028247945,-0.010177081213111937,-0.025697031992786425,0.11299435028247945,-0.010177081213111937,-0.025697031992786425,0.11299435028247945,-0.010177081213111937,-0.025697031992786425,0.11299435028247945,-0.010177081213111937,-0.025697031992786425,0.11299435028247945,-0.010177081213111937,-0.025697031992786425,0.11299435028247945,-0.010177081213111937,13.087887088537078,-25.26230831315576,15.446583044982699,10.588473820264575,-22.679580306698963,12.829907049324909,9.645906579608232,-10.734463276836157,11.690798535290739,14.027722967640097,-1.3810420590081678,15.107333624483493
45,1796.3428571428574,146.71428571428572,1655.2380952380954,3322.627450980392,174.22222222222226,3171.451612903226,3489.5454545454545,170.625,3364.85,3270.621052631579,166.25,3120.0,3299.5164835164837,196.0,3130.4457831325303,3301.367924528302,177.77777777777774,3143.6701030927834,3349.4693877551017,194.0,3176.8,3395.0967741935488,187.5,3223.482352941177,3576.414634146341,176.8,3423.5575221238932,3576.414634146341,176.8,3423.5575221238932,3576.414634146341,176.8,3423.5575221238932,3576.414634146341,176.8,3423.5575221238932,3620.930232558139,176.8,3468.3529411764707,3620.930232558139,176.8,3468.3529411764707,3620.930232558139,176.8,3468.3529411764707,3620.930232558139,176.8,3468.3529411764707,3176.956989247312,289.25,2912.4606741573034,2960.94,180.0,2778.1505376344085,3034.8453608247423,197.16666666666663,2821.230769230769,2858.4,178.0,2669.662921348315,50.37726913970007,17.110573042776426,52.27110452023946,8.214711298884197,1.5693659761456176,8.550991554116901,3.6037167252636872,3.6016949152542375,2.9743367935409486,9.651352137249198,6.073446327683616,10.034602076124568,8.853135814461774,-10.734463276836157,9.733397256847454,8.80199103512978,-0.4394224733207588,9.352073151880525,7.473221332731996,-9.6045197740113,8.396770472895035,6.212796292995891,-5.932203389830509,7.050681864441264,1.2040156313165444,0.11299435028247945,1.2815016688612098,1.2040156313165444,0.11299435028247945,1.2815016688612098,1.2040156313165444,0.11299435028247945,1.2815016688612098,1.2040156313165444,0.11299435028247945,1.2815016688612098,-0.025697031992786425,0.11299435028247945,-0.010177081213111937,-0.025697031992786425,0.11299435028247945,-0.010177081213111937,-0.025697031992786425,0.11299435028247945,-0.010177081213111937,-0.025697031992786425,0.11299435028247945,-0.010177081213111937,12.23875720311293,-63.4180790960452,16.019011702499903,18.206077348066295,-1.694915254237288,19.891853009388452,16.16449279489662,-11.393596986817304,18.64963179842073,21.038674033149167,-0.5649717514124294,23.02010030714201
50,1640.0,139.28571428571428,1513.2857142857142,3089.2195121951213,168.0,2939.972972972973,3447.8461538461543,165.0,3382.350877192983,3264.656716417911,170.85714285714286,3136.4666666666667,3085.285714285714,186.0,2945.4492753623185,3201.5,180.0,3051.040540540541,3315.0135135135133,197.14285714285717,3154.7014925373132,3276.701298701298,178.125,3145.637681159421,3517.7352941176473,166.25,3375.531914893617,3517.7352941176473,166.25,3375.531914893617,3517.7352941176473,166.25,3375.531914893617,3517.7352941176473,166.25,3375.531914893617,3262.7049180327867,175.1,3105.2589285714284,3133.5652173913045,175.1,2978.476190476191,3265.6,175.1,3109.090909090909,3244.5,175.1,3088.8,3157.6559139784945,289.25,2892.9662921348317,2892.9292929292933,180.0,2710.8695652173915,3050.425531914894,197.16666666666663,2836.5,2931.25,174.0,2749.439024390244,54.696132596685075,21.30750605326877,56.364310430054374,14.66244441449941,5.084745762711864,15.225692820848533,4.755631109222257,6.779661016949152,2.4696978894756976,9.816112806135056,3.4705407586763495,9.559784698193003,14.771112865035517,-5.084745762711864,15.067783294050793,11.560773480662982,-1.694915254237288,12.023052464228925,8.425041063162615,-11.380145278450376,9.033982337447716,9.483389538638173,-0.635593220338983,9.295337913511506,2.824991875203113,6.073446327683616,2.666323099953377,2.824991875203113,6.073446327683616,2.666323099953377,2.824991875203113,6.073446327683616,2.666323099953377,2.824991875203113,6.073446327683616,2.666323099953377,9.87002988859705,1.073446327683619,10.459661805898834,13.437424933941864,1.073446327683619,14.11545010160926,9.790055248618787,1.073446327683619,10.34916640452973,10.372928176795579,1.073446327683619,10.934256055363317,12.77193607794214,-63.4180790960452,16.581133444785706,20.084826162174217,-1.694915254237288,21.831904117145573,15.73410132831785,-11.393596986817304,18.209342560553633,19.026243093922652,1.694915254237288,20.71975131516021
55,1461.9636363636364,135.66666666666666,1328.0816326530612,2856.396226415094,167.14285714285714,2751.913043478261,2912.775,138.85714285714286,2938.181818181818,2568.285714285714,144.0,2532.114285714286,2709.1764705882347,163.42857142857142,2621.454545454545,2901.3461538461543,170.85714285714286,2804.8444444444444,3233.4545454545455,165.28571428571428,3216.648648648649,2895.666666666666,149.14285714285714,2868.2105263157896,2746.714285714286,236.66666666666663,2451.25,2746.714285714286,236.66666666666663,2451.25,2746.714285714286,236.66666666666663,2451.25,2746.714285714286,236.66666666666663,2451.25,0.0,0.0,0.0,276.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2889.825,249.0,2653.934210526316,2794.736842105264,166.0,2605.9154929577467,2916.88,225.5,2685.5774647887324,2930.0,200.0,2721.153846153846,59.614264188849816,23.352165725047087,61.7046818727491,21.094026894610657,5.56900726392252,20.648412817812545,19.536602209944746,21.54963680387409,15.27734088287722,29.05288082083662,18.64406779661017,26.986323941341237,25.16087097822556,7.667473769168692,24.41019188424034,19.852316192095184,3.4705407586763495,19.122132513135973,10.678051230537417,6.6182405165456055,7.2477321612269545,20.00920810313077,15.738498789346249,17.294967522612758,24.123914759273873,-33.70998116760826,29.31805074971165,24.123914759273873,-33.70998116760826,29.31805074971165,24.123914759273873,-33.70998116760826,29.31805074971165,24.123914759273873,-33.70998116760826,29.31805074971165,99.99999999999999,100.0,100.0,92.3756906077348,0.5649717514124294,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,20.17058011049724,-40.67796610169491,23.473638681478782,22.79732480372199,6.214689265536723,24.858261448738563,19.423204419889498,-27.401129943502823,22.561203437464464,19.06077348066298,-12.994350282485875,21.535356223937537
60,1441.6904761904761,128.33333333333334,1326.111111111111,2925.5769230769233,160.0,2941.714285714286,1955.1724137931037,119.42857142857143,2026.8181818181815,1993.25,128.33333333333334,2041.666666666667,2496.6060606060605,164.0,2462.703703703704,3381.818181818182,164.0,3391.5,2358.620689655173,124.14285714285714,2497.909090909091,2273.8965517241377,145.8,2211.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2874.3076923076924,243.0,2636.918918918919,2628.108108108108,166.0,2440.0,2853.4520547945203,225.5,2620.4347826086955,2837.593220338983,197.5,2629.9636363636364,60.174296237832145,27.495291902071557,61.761501986415475,19.18295792605184,9.6045197740113,15.175481957488875,45.98971232615735,32.52623083131557,41.55656915172487,44.9378453038674,27.495291902071557,41.128412149173386,31.032981751213796,7.344632768361582,28.987782476825146,6.579608237066796,7.344632768361582,2.2058823529411766,34.84473232996759,29.862792574656982,27.97263290342875,37.18517812916746,17.62711864406779,36.23846597462514,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,20.599235019124517,-37.28813559322034,23.96427569437949,27.400328505300884,6.214689265536723,29.64244521337947,21.175357602361316,-27.401129943502823,24.439596810591247,21.613446951961794,-11.581920903954803,24.164831708084304
65,1324.9714285714285,122.0,1218.0666666666666,2295.0,132.0,2499.0,1469.3684210526314,139.5,1427.6,1317.5,113.4,1362.3076923076926,2003.55,138.0,2074.0,3192.0,136.0,4099.666666666667,2080.0,111.6,2428.8,2166.75,118.8,2439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3261.6585365853657,271.3333333333333,3007.263157894737,2871.375,154.0,2734.8837209302324,3443.5263157894733,175.0,3316.2352941176473,2741.6666666666665,213.0,2538.5454545454545,63.39857932123125,31.073446327683616,64.87697039600154,36.60220994475138,25.423728813559322,27.941176470588236,59.40971212561791,21.1864406779661,58.83506343713957,63.6049723756906,35.932203389830505,60.71777127140449,44.65331491712707,22.033898305084744,40.19607843137255,11.823204419889501,23.163841807909606,-18.21414840445983,42.54143646408839,36.949152542372886,29.96539792387543,40.14502762430939,32.88135593220339,29.67128027681661,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,9.898935453442935,-53.29566854990583,13.28537606993261,20.68024861878453,12.994350282485875,21.13945441377646,4.874963652224494,1.1299435028248588,4.376144921636468,24.2633517495396,-20.338983050847457,26.800880780119535
70,1129.1666666666667,55.2,1147.7894736842104,1742.0,125.33333333333331,2535.0,1093.7142857142858,78.75,1206.0,1179.6923076923074,109.33333333333331,1209.0,1788.2727272727273,96.75,2120.0,2064.0,141.0,2562.0,1465.090909090909,99.0,1748.571428571429,1866.375,129.0,2277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.605263157894,267.6666666666667,2952.2,2744.177777777778,146.0,2625.7,3288.6764705882347,157.5,3170.733333333333,2849.4666666666667,315.0,2567.25,68.8075506445672,68.8135593220339,66.90341771383477,51.87845303867403,29.190207156308862,26.903114186851212,69.78689818468823,55.50847457627118,65.22491349480968,67.41181470463238,38.22975517890773,65.13840830449827,50.6002009040683,45.33898305084746,38.86966551326413,42.98342541436464,20.338983050847457,26.124567474048444,59.52787543947765,44.06779661016949,49.579831932773104,48.442679558011044,27.11864406779661,34.34256055363322,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,11.585489968013974,-51.224105461393606,14.873125720876592,24.1939840392879,17.51412429378531,24.28777393310266,9.152583685407881,11.016949152542372,8.57170319108036,21.285451197053405,-77.96610169491525,25.97318339100346
75,1071.4285714285713,58.33333333333334,1081.8181818181818,5733.0,245.0,0.0,1145.142857142857,198.0,1015.0,1264.4285714285713,112.0,1391.2,2002.0,101.5,2544.0,4260.0,155.0,0.0,1081.0,67.5,1176.0,1650.25,72.0,2502.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3164.8,247.5,2972.3076923076924,2223.9375,115.2,2187.777777777778,2524.125,133.33333333333334,2489.846153846154,3638.0,216.0,3679.4285714285716,70.40252565114443,67.04331450094162,68.80570409982174,-58.37016574585635,-38.4180790960452,100.0,68.36621941594318,-11.864406779661017,70.73241061130335,65.07103393843724,36.72316384180791,59.88465974625145,44.69613259668508,42.655367231638415,26.643598615916954,-17.67955801104972,12.429378531073446,100.0,70.13812154696132,61.86440677966102,66.08996539792388,54.41298342541436,59.32203389830509,27.840253748558247,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,12.57458563535911,-39.83050847457627,14.293319137609792,38.56526243093922,34.91525423728813,36.915288991413554,30.272790055248617,24.67043314500941,28.205128205128208,-0.49723756906077343,-22.033898305084744,-6.096556269566654
80,917.7,42.66666666666666,1014.5714285714287,0.0,0.0,0.0,998.4,110.0,952.0,1053.0,144.0,1020.0,1387.5,19.0,2304.0,0.0,0.0,0.0,3330.0,0.0,2548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2783.8461538461543,247.5,2598.454545454545,2164.259259259259,115.2,2163.4545454545455,2056.153846153846,133.33333333333334,2038.4,2980.0,216.0,2940.285714285714,74.64917127071823,75.89453860640302,70.74476849563355,99.99999999999999,100.0,100.0,72.41988950276242,37.85310734463277,72.54901960784314,70.91160220994475,18.64406779661017,70.58823529411765,61.67127071823204,89.26553672316385,33.56401384083045,99.99999999999999,100.0,100.0,8.011049723756905,100.0,26.528258362168398,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,23.098172545686346,-39.83050847457627,25.07339834329455,40.21383261714753,34.91525423728813,37.61665093845025,43.2001699957501,24.67043314500941,41.22260668973472,17.67955801104972,-22.033898305084744,15.216674905256221
85,897.0,28.0,1645.0,0.0,0.0,0.0,945.0,26.0,1520.0,561.0,36.0,586.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1689.333333333333,210.0,1480.0,2442.3636363636365,210.0,2217.6,1079.875,105.0,1018.3333333333335,1500.7142857142858,143.5,1507.2,75.22099447513811,84.18079096045197,52.56632064590542,99.99999999999999,100.0,100.0,73.89502762430939,85.31073446327683,56.17070357554787,84.50276243093921,79.66101694915254,83.08342945021147,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,53.333333333333336,-18.64406779661017,57.32410611303345,32.531391260673026,-18.64406779661017,36.05536332179931,70.16919889502762,40.67796610169491,70.63629373317954,58.543804262036296,18.926553672316384,56.53979238754325
90,2204.0,0.0,1624.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1701.0,204.0,1560.0,2555.555555555556,205.0,2349.0,1266.5,102.0,1316.25,1222.5,140.0,1235.0,39.11602209944751,100.0,53.17185697808535,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,87.81767955801104,100.0,89.10034602076125,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,53.011049723756905,-15.254237288135593,55.017301038062286,29.404542664211156,-15.819209039548022,32.266435986159166,65.01381215469613,42.3728813559322,62.04584775086505,66.2292817679558,20.903954802259886,64.38869665513265
