,,Share Proportion
1632,photo_album_54,40.0
2182,photo_album_9,40.0
1620,photo_album_87,40.0
-13737,photo_album_31,40.0
-13644,photo_album_31,40.0
1564,photo_album_79,40.0
1563,photo_album_54,40.0
1561,photo_album_54,40.0
-9274,photo_album_41,40.0
1557,photo_album_76,40.0
1556,photo_album_96,40.0
-13452,photo_album_8,40.0
1554,photo_album_54,40.0
1552,photo_album_54,40.0
276,photo_album_88,40.0
97,photo_album_55,40.0
-17719,photo_album_66,40.0
-17732,photo_album_45,40.0
717,photo_album_78,40.0
1179,photo_album_6,40.0
487,photo_album_34,40.0
-13274,photo_album_14,40.0
-8801,photo_album_55,40.0
485,photo_album_62,40.0
1178,photo_album_97,40.0
-8798,photo_album_68,40.0
1182,photo_album_61,40.0
-13316,photo_album_1,40.0
805,photo_album_69,40.0
-13311,photo_album_14,40.0
1198,photo_album_84,40.0
1199,photo_album_6,40.0
1200,photo_album_98,40.0
-18692,photo_album_44,40.0
-9094,photo_album_55,40.0
1137,photo_album_82,40.0
-8828,photo_album_17,40.0
1166,photo_album_6,40.0
1163,photo_album_7,40.0
-13291,photo_album_19,40.0
511,photo_album_43,40.0
-13277,photo_album_14,40.0
517,photo_album_47,40.0
696,photo_album_53,40.0
527,photo_album_93,40.0
-8908,photo_album_11,40.0
-13290,photo_album_14,40.0
534,photo_album_73,40.0
1157,photo_album_59,40.0
-13287,photo_album_46,40.0
1155,photo_album_84,40.0
1210,photo_album_97,40.0
716,photo_album_87,40.0
1662,photo_album_86,40.0
-13368,photo_album_74,40.0
-18411,photo_album_52,40.0
113,photo_album_11,40.0
1371,photo_album_71,40.0
1376,photo_album_97,40.0
-13367,photo_album_74,40.0
-17964,photo_album_44,40.0
-13381,photo_album_74,40.0
1212,photo_album_18,40.0
60,photo_album_80,40.0
357,photo_album_100,40.0
-13387,photo_album_57,40.0
-17876,photo_album_45,40.0
347,photo_album_18,40.0
1446,photo_album_4,40.0
-18412,photo_album_52,40.0
1356,photo_album_27,40.0
1345,photo_album_34,40.0
1306,photo_album_1,40.0
1301,photo_album_34,40.0
599,photo_album_47,40.0
992,photo_album_34,40.0
1279,photo_album_34,40.0
598,photo_album_47,40.0
798,photo_album_69,40.0
-9169,photo_album_1,40.0
585,photo_album_70,40.0
456,photo_album_43,40.0
-13323,photo_album_46,40.0
1228,photo_album_93,40.0
462,photo_album_88,40.0
1219,photo_album_34,40.0
2122,photo_album_64,40.0
540,photo_album_43,40.0
1942,photo_album_94,40.0
-14491,photo_album_64,40.0
-15422,photo_album_28,40.0
2119,photo_album_37,40.0
-15423,photo_album_28,40.0
679,photo_album_21,40.0
1947,photo_album_79,40.0
1877,photo_album_52,40.0
1686,photo_album_33,40.0
-15962,photo_album_32,40.0
1735,photo_album_34,40.0
-15489,photo_album_38,40.0
-14490,photo_album_64,40.0
1876,photo_album_31,40.0
865,photo_album_35,40.0
74,photo_album_72,40.0
1733,photo_album_2,40.0
1849,photo_album_28,40.0
2034,photo_album_45,40.0
-9493,photo_album_90,40.0
-9372,photo_album_59,40.0
-16110,photo_album_32,40.0
1861,photo_album_60,40.0
-16109,photo_album_32,40.0
1865,photo_album_63,40.0
-16000,photo_album_32,40.0
1979,photo_album_21,40.0
198,photo_album_5,40.0
-16091,photo_album_10,40.0
-9598,photo_album_39,40.0
741,photo_album_54,40.0
-9584,photo_album_64,40.0
1754,photo_album_82,40.0
-14240,photo_album_33,40.0
1847,photo_album_59,40.0
-9390,photo_album_10,40.0
2118,photo_album_37,40.0
-14204,photo_album_70,40.0
727,photo_album_54,40.0
1935,photo_album_62,40.0
193,photo_album_5,40.0
-15770,photo_album_60,40.0
1674,photo_album_96,40.0
1833,photo_album_38,40.0
-9776,photo_album_87,40.0
1844,photo_album_10,40.0
-16166,photo_album_59,40.0
843,photo_album_69,40.0
-9389,photo_album_10,40.0
-9901,photo_album_2,40.0
1831,photo_album_38,40.0
1846,photo_album_33,40.0
1829,photo_album_38,40.0
-16162,photo_album_32,40.0
1702,photo_album_25,37.5
-16104,photo_album_20,37.5
1533,photo_album_25,37.5
-8828,photo_album_11,37.5
1151,photo_album_20,37.5
-16102,photo_album_20,37.5
1539,photo_album_25,37.5
1384,photo_album_25,35.294117647058826
1686,photo_album_70,35.0
299,photo_album_88,35.0
485,photo_album_47,35.0
455,photo_album_88,35.0
273,photo_album_56,35.0
273,photo_album_50,35.0
32,photo_album_42,35.0
296,photo_album_88,35.0
2,photo_album_42,35.0
618,photo_album_23,33.333333333333336
1011,photo_album_23,33.333333333333336
1142,photo_album_13,33.333333333333336
1686,photo_album_26,33.333333333333336
1144,photo_album_13,33.333333333333336
97,photo_album_11,33.333333333333336
1010,photo_album_23,33.333333333333336
13,photo_album_13,33.333333333333336
1643,photo_album_29,33.333333333333336
981,photo_album_23,33.333333333333336
630,photo_album_23,33.333333333333336
1629,photo_album_25,33.333333333333336
792,photo_album_27,31.03448275862069
-15951,photo_album_36,30.0
1897,photo_album_52,30.0
421,photo_album_30,30.0
598,photo_album_88,30.0
1247,photo_album_61,30.0
1273,photo_album_34,30.0
795,photo_album_63,30.0
387,photo_album_69,30.0
-13336,photo_album_74,30.0
1283,photo_album_19,30.0
1900,photo_album_60,30.0
-15427,photo_album_59,30.0
-13351,photo_album_74,30.0
392,photo_album_100,30.0
-15428,photo_album_59,30.0
1358,photo_album_71,30.0
113,photo_album_17,30.0
-9407,photo_album_83,30.0
-13269,photo_album_14,30.0
-13364,photo_album_74,30.0
-18240,photo_album_44,30.0
1378,photo_album_40,30.0
1382,photo_album_22,30.0
1240,photo_album_98,30.0
-13308,photo_album_46,30.0
1799,photo_album_33,30.0
1168,photo_album_14,30.0
1175,photo_album_19,30.0
-8820,photo_album_67,30.0
493,photo_album_43,30.0
1173,photo_album_92,30.0
-8820,photo_album_80,30.0
496,photo_album_88,30.0
-15899,photo_album_83,30.0
1168,photo_album_19,30.0
500,photo_album_47,30.0
503,photo_album_47,30.0
-13276,photo_album_46,30.0
1235,photo_album_84,30.0
1846,photo_album_54,30.0
-8828,photo_album_80,30.0
1147,photo_album_18,30.0
802,photo_album_78,30.0
533,photo_album_73,30.0
-15861,photo_album_48,30.0
-15898,photo_album_83,30.0
-8908,photo_album_17,30.0
-10043,photo_album_99,30.0
542,photo_album_51,30.0
-13305,photo_album_19,30.0
1851,photo_album_59,30.0
-13306,photo_album_14,30.0
575,photo_album_96,30.0
1799,photo_album_53,30.0
1884,photo_album_60,30.0
1876,photo_album_73,30.0
1132,photo_album_35,30.0
-15950,photo_album_36,30.0
1875,photo_album_64,30.0
1875,photo_album_60,30.0
-15949,photo_album_36,30.0
1207,photo_album_61,30.0
580,photo_album_16,30.0
-15948,photo_album_36,30.0
1866,photo_album_60,30.0
1132,photo_album_58,30.0
-13308,photo_album_82,30.0
1193,photo_album_84,30.0
-15942,photo_album_72,30.0
-15941,photo_album_72,30.0
-15940,photo_album_72,30.0
-15922,photo_album_64,30.0
-15624,photo_album_50,30.0
-15900,photo_album_83,30.0
-17918,photo_album_60,30.0
1662,photo_album_91,30.0
-9765,photo_album_5,30.0
-9914,photo_album_2,30.0
912,photo_album_78,30.0
-14473,photo_album_39,30.0
893,photo_album_52,30.0
273,photo_album_29,30.0
273,photo_album_48,30.0
2027,photo_album_45,30.0
1551,photo_album_54,30.0
643,photo_album_68,30.0
-13438,photo_album_85,30.0
280,photo_album_88,30.0
-13422,photo_album_8,30.0
-13415,photo_album_8,30.0
1995,photo_album_33,30.0
-9913,photo_album_2,30.0
-10037,photo_album_60,30.0
-17343,photo_album_66,30.0
368,photo_album_100,30.0
720,photo_album_23,30.0
-17344,photo_album_66,30.0
826,photo_album_73,30.0
1523,photo_album_100,30.0
-17439,photo_album_66,30.0
684,photo_album_69,30.0
1996,photo_album_39,30.0
1561,photo_album_70,30.0
-13456,photo_album_85,30.0
727,photo_album_9,30.0
785,photo_album_68,30.0
1012,photo_album_81,30.0
2131,photo_album_74,30.0
-16187,photo_album_39,30.0
1656,photo_album_83,30.0
2105,photo_album_39,30.0
2103,photo_album_39,30.0
2155,photo_album_37,30.0
2096,photo_album_37,30.0
1042,photo_album_75,30.0
1639,photo_album_54,30.0
-14101,photo_album_33,30.0
-14100,photo_album_33,30.0
-9971,photo_album_79,30.0
1633,photo_album_54,30.0
1683,photo_album_40,30.0
-13830,photo_album_3,30.0
776,photo_album_35,30.0
2094,photo_album_16,30.0
-13827,photo_album_24,30.0
158,photo_album_53,30.0
-13817,photo_album_3,30.0
-13735,photo_album_31,30.0
950,photo_album_76,30.0
-16063,photo_album_20,30.0
320,photo_album_88,30.0
318,photo_album_88,30.0
316,photo_album_47,30.0
-17581,photo_album_45,30.0
-9507,photo_album_53,30.0
317,photo_album_88,30.0
-9270,photo_album_41,30.0
1985,photo_album_70,30.0
1110,photo_album_35,30.0
1985,photo_album_47,30.0
1716,photo_album_82,30.0
-17586,photo_album_45,30.0
1501,photo_album_96,30.0
683,photo_album_69,30.0
1962,photo_album_21,30.0
832,photo_album_73,30.0
333,photo_album_30,30.0
1123,photo_album_51,30.0
-16006,photo_album_32,30.0
823,photo_album_73,30.0
1411,photo_album_94,30.0
-9884,photo_album_81,30.0
-16062,photo_album_20,30.0
719,photo_album_23,30.0
748,photo_album_68,30.0
1125,photo_album_35,30.0
1715,photo_album_96,30.0
307,photo_album_88,30.0
-17917,photo_album_60,30.0
310,photo_album_88,30.0
677,photo_album_58,26.666666666666668
2054,photo_album_2,26.31578947368421
1723,photo_album_2,26.31578947368421
792,photo_album_56,25.0
47,photo_album_67,25.0
1121,photo_album_94,25.0
1550,photo_album_54,25.0
-14238,photo_album_26,22.22222222222222
-13276,photo_album_1,22.22222222222222
1541,photo_album_22,22.22222222222222
1359,photo_album_27,22.22222222222222
1489,photo_album_25,22.22222222222222
-14239,photo_album_26,22.22222222222222
2137,photo_album_24,22.22222222222222
1535,photo_album_22,22.22222222222222
341,photo_album_30,22.22222222222222
-14237,photo_album_26,22.22222222222222
400,photo_album_30,22.22222222222222
405,photo_album_30,22.22222222222222
-12986,photo_album_86,20.0
-9549,photo_album_4,20.0
-9340,photo_album_8,20.0
1036,photo_album_73,20.0
-9354,photo_album_72,20.0
585,photo_album_33,20.0
84,photo_album_67,20.0
564,photo_album_7,20.0
585,photo_album_47,20.0
-12978,photo_album_91,20.0
-9892,photo_album_65,20.0
594,photo_album_88,20.0
1104,photo_album_58,20.0
-12979,photo_album_91,20.0
1104,photo_album_35,20.0
595,photo_album_47,20.0
-9593,photo_album_64,20.0
646,photo_album_58,20.0
860,photo_album_96,20.0
-9876,photo_album_2,20.0
-9893,photo_album_65,20.0
105,photo_album_2,20.0
1140,photo_album_13,20.0
60,photo_album_17,20.0
667,photo_album_68,20.0
810,photo_album_69,20.0
-15876,photo_album_56,20.0
54,photo_album_73,20.0
-16057,photo_album_36,20.0
-15381,photo_album_28,20.0
-16067,photo_album_36,20.0
-14523,photo_album_37,20.0
2,photo_album_55,20.0
-14522,photo_album_37,20.0
1687,photo_album_40,20.0
2094,photo_album_88,20.0
210,photo_album_57,20.0
210,photo_album_8,20.0
727,photo_album_68,20.0
-14204,photo_album_33,20.0
-16173,photo_album_36,20.0
-14188,photo_album_26,20.0
1656,photo_album_56,20.0
930,photo_album_68,20.0
-16219,photo_album_37,20.0
-13689,photo_album_31,20.0
27,photo_album_55,20.0
-13415,photo_album_85,20.0
295,photo_album_47,20.0
1527,photo_album_96,20.0
1992,photo_album_21,20.0
-16056,photo_album_36,20.0
537,photo_album_18,20.0
-16052,photo_album_37,20.0
-15881,photo_album_56,20.0
-15867,photo_album_83,20.0
1832,photo_album_38,20.0
1828,photo_album_36,20.0
-15641,photo_album_56,20.0
1820,photo_album_36,20.0
1867,photo_album_60,20.0
1867,photo_album_99,20.0
74,photo_album_97,20.0
19,photo_album_67,20.0
1762,photo_album_1,20.0
1761,photo_album_1,20.0
1912,photo_album_33,20.0
-15985,photo_album_32,20.0
1921,photo_album_33,20.0
1756,photo_album_1,20.0
-15407,photo_album_36,20.0
1741,photo_album_86,20.0
-16023,photo_album_39,20.0
-16024,photo_album_39,20.0
-16049,photo_album_32,20.0
1516,photo_album_54,20.0
1513,photo_album_54,20.0
307,photo_album_47,20.0
31,photo_album_73,20.0
124,photo_album_64,20.0
875,photo_album_69,20.0
461,photo_album_88,20.0
1217,photo_album_81,20.0
1200,photo_album_61,20.0
1196,photo_album_7,20.0
1195,photo_album_6,20.0
487,photo_album_2,20.0
487,photo_album_43,20.0
489,photo_album_47,20.0
497,photo_album_88,20.0
499,photo_album_47,20.0
502,photo_album_47,20.0
502,photo_album_88,20.0
503,photo_album_16,20.0
1167,photo_album_6,20.0
508,photo_album_47,20.0
-8828,photo_album_55,20.0
696,photo_album_76,20.0
520,photo_album_47,20.0
528,photo_album_64,20.0
1240,photo_album_61,20.0
-13326,photo_album_74,20.0
440,photo_album_100,20.0
1398,photo_album_94,20.0
-13404,photo_album_57,20.0
314,photo_album_47,20.0
318,photo_album_47,20.0
717,photo_album_96,20.0
-15876,photo_album_83,20.0
1495,photo_album_70,20.0
333,photo_album_58,20.0
886,photo_album_69,20.0
1492,photo_album_54,20.0
361,photo_album_96,20.0
876,photo_album_40,20.0
-18382,photo_album_63,20.0
-18383,photo_album_63,20.0
-18384,photo_album_63,20.0
1359,photo_album_71,20.0
-18478,photo_album_60,20.0
-18479,photo_album_60,20.0
-18480,photo_album_44,20.0
410,photo_album_100,20.0
431,photo_album_100,20.0
1749,photo_album_86,20.0
UNIDENTIFIED,share,18.0
32,photo_album_11,17.647058823529413
340,photo_album_30,16.666666666666668
60,photo_album_55,15.0
2130,photo_album_74,15.0
680,photo_album_12,12.5
668,photo_album_25,12.5
1574,photo_album_25,12.5
47,photo_album_11,11.11111111111111
1365,photo_album_27,11.11111111111111
1175,photo_album_1,11.11111111111111
374,photo_album_21,11.11111111111111
1244,photo_album_13,11.11111111111111
-13287,photo_album_1,11.11111111111111
47,photo_album_17,10.526315789473685
-13365,photo_album_74,10.0
-18740,photo_album_63,10.0
-9446,photo_album_56,10.0
-9408,photo_album_83,10.0
-8828,photo_album_67,10.0
-8820,photo_album_17,10.0
-18742,photo_album_63,10.0
-18676,photo_album_99,10.0
-18739,photo_album_63,10.0
-13287,photo_album_14,10.0
-18579,photo_album_99,10.0
-18578,photo_album_99,10.0
-18577,photo_album_99,10.0
-18576,photo_album_99,10.0
-9446,photo_album_83,10.0
-9447,photo_album_83,10.0
-9447,photo_album_56,10.0
-17650,photo_album_66,10.0
-9505,photo_album_48,10.0
-9551,photo_album_86,10.0
-9578,photo_album_64,10.0
-9638,photo_album_39,10.0
-9814,photo_album_2,10.0
-9815,photo_album_2,10.0
1027,photo_album_19,10.0
1028,photo_album_66,10.0
1113,photo_album_35,10.0
-12986,photo_album_4,10.0
1148,photo_album_32,10.0
1168,photo_album_1,10.0
-17676,photo_album_66,10.0
-17536,photo_album_66,10.0
981,photo_album_68,10.0
-14197,photo_album_33,10.0
-13389,photo_album_57,10.0
-13415,photo_album_57,10.0
-13432,photo_album_85,10.0
-13361,photo_album_74,10.0
-13440,photo_album_8,10.0
-13447,photo_album_85,10.0
-13360,photo_album_74,10.0
986,photo_album_68,10.0
-13686,photo_album_31,10.0
-13826,photo_album_3,10.0
-13338,photo_album_74,10.0
-14103,photo_album_70,10.0
-14185,photo_album_70,10.0
-14228,photo_album_70,10.0
-17482,photo_album_66,10.0
-14453,photo_album_37,10.0
-14454,photo_album_37,10.0
-13331,photo_album_74,10.0
913,photo_album_68,10.0
-14463,photo_album_39,10.0
-14481,photo_album_37,10.0
-14502,photo_album_39,10.0
-15433,photo_album_38,10.0
-13305,photo_album_14,10.0
-15641,photo_album_83,10.0
-15874,photo_album_56,10.0
-15874,photo_album_83,10.0
-16178,photo_album_36,10.0
-15586,photo_album_90,10.0
1129,photo_album_58,10.0
1755,photo_album_1,10.0
789,photo_album_68,10.0
776,photo_album_58,10.0
1624,photo_album_33,10.0
1659,photo_album_38,10.0
1668,photo_album_4,10.0
1676,photo_album_40,10.0
1702,photo_album_31,10.0
1741,photo_album_91,10.0
1749,photo_album_91,10.0
747,photo_album_68,10.0
746,photo_album_68,10.0
1762,photo_album_19,10.0
1765,photo_album_1,10.0
1876,photo_album_63,10.0
1911,photo_album_33,10.0
1958,photo_album_64,10.0
2106,photo_album_64,10.0
2109,photo_album_64,10.0
314,photo_album_88,10.0
473,photo_album_47,10.0
48,photo_album_7,10.0
489,photo_album_88,10.0
496,photo_album_16,10.0
513,photo_album_16,10.0
522,photo_album_16,10.0
536,photo_album_69,10.0
58,photo_album_23,10.0
610,photo_album_69,10.0
629,photo_album_69,10.0
637,photo_album_69,10.0
1574,photo_album_54,10.0
-10023,photo_album_99,10.0
1256,photo_album_13,10.0
1508,photo_album_70,10.0
146,photo_album_81,10.0
1481,photo_album_26,10.0
1384,photo_album_54,10.0
1500,photo_album_53,10.0
146,photo_album_2,10.0
1169,photo_album_18,5.2631578947368425
47,photo_album_42,5.0
718,photo_album_69,0.0
1117,photo_album_35,0.0
-14120,photo_album_26,0.0
1122,photo_album_58,0.0
32,photo_album_55,0.0
-13577,photo_album_31,0.0
-13562,photo_album_31,0.0
455,photo_album_16,0.0
716,photo_album_94,0.0
719,photo_album_69,0.0
299,photo_album_16,0.0
1553,photo_album_54,0.0
-13383,photo_album_74,0.0
1129,photo_album_51,0.0
720,photo_album_69,0.0
482,photo_album_88,0.0
1130,photo_album_35,0.0
1133,photo_album_35,0.0
1140,photo_album_18,0.0
1256,photo_album_18,0.0
-13308,photo_album_19,0.0
-13308,photo_album_14,0.0
601,photo_album_16,0.0
1242,photo_album_18,0.0
1181,photo_album_13,0.0
-14209,photo_album_70,0.0
1401,photo_album_94,0.0
296,photo_album_16,0.0
292,photo_album_88,0.0
-9445,photo_album_56,0.0
-9461,photo_album_56,0.0
-9408,photo_album_56,0.0
-9266,photo_album_74,0.0
1620,photo_album_31,0.0
-8820,photo_album_55,0.0
-9551,photo_album_91,0.0
1675,photo_album_31,0.0
-9578,photo_album_39,0.0
84,photo_album_17,0.0
84,photo_album_11,0.0
79,photo_album_98,0.0
1183,photo_album_13,0.0
1759,photo_album_19,0.0
-16951,photo_album_21,0.0
-16187,photo_album_64,0.0
-9818,photo_album_81,0.0
-9819,photo_album_81,0.0
19,photo_album_11,0.0
19,photo_album_17,0.0
1456,photo_album_94,0.0
-15449,photo_album_38,0.0
1402,photo_album_94,0.0
1996,photo_album_64,0.0
2069,photo_album_66,0.0
1106,photo_album_51,0.0
16,photo_album_68,0.0
1183,photo_album_18,0.0
