NID,CONTRIBUTOR,TOTAL
741,"NNP GZC Car '14WHITE', Person 'A'",1
1483,"NNP GZC Car '14WHITE', Person 'A'",2
1137,"NNP GZC Car '12WHITE', Person 'A'",1
1499,"NNP GZC Car '14WHITE', Person 'A'",1
1824,"NNP GZC Car '11WHITE', Person 'A'",5
1828,"NNP GZC Car '13WHITE', Person 'B'",1
1820,"NNP GZC Car '13WHITE', Person 'B'",3
273,"NNP GZC Car '15WHITE', Person 'C'",2
1944,"NNP GZC Car '11WHITE', Person 'A'",3
1375,"NNP GZC Car '11WHITE', Person 'A'",7
1761,"NNP GZC Car '12WHITE', Person 'A'",1
1820,"NNP GZC Car '11WHITE', Person 'A'",3
1028,"NNP GZC Car '11WHITE', Person 'A'",6
1157,"NNP GZC Car '13WHITE', Person 'B'",3
1148,"NNP GZC Car '13WHITE', Person 'B'",5
1638,"NNP GZC Car '14WHITE', Person 'A'",1
290,"NNP GZC Car '11WHITE', Person 'A'",1
792,"NNP GZC Car '15WHITE', Person 'C'",2
1659,"NNP GZC Car '10WHITE', Person 'A'",1
1913,"NNP GZC Car '14WHITE', Person 'A'",1
1639,"NNP GZC Car '14WHITE', Person 'A'",1
1852,"NNP GZC Car '13WHITE', Person 'A'",1
60,"NNP GZC Car '13WHITE', Person 'A'",3
1833,"NNP GZC Car '11WHITE', Person 'A'",1
234,"NNP GZC Car '15WHITE', Person 'B'",7
1660,"NNP GZC Car '11WHITE', Person 'A'",4
1915,"NNP GZC Car '14WHITE', Person 'A'",1
1376,"NNP GZC Car '11WHITE', Person 'A'",3
1753,"NNP GZC Car '12WHITE', Person 'A'",1
1754,"NNP GZC Car '12WHITE', Person 'A'",1
1818,"NNP GZC Car '11WHITE', Person 'A'",5
1853,"NNP GZC Car '13WHITE', Person 'A'",1
234,"NNP GZC Car '15WHITE', Person 'A'",9
1645,"NNP GZC Car '15WHITE', Person 'D'",1
1715,"NNP GZC Car '14WHITE', Person 'A'",1
1027,"NNP GZC Car '12WHITE', Person 'A'",2
1817,"NNP GZC Car '11WHITE', Person 'A'",4
1855,"NNP GZC Car '13WHITE', Person 'B'",1
1551,"NNP GZC Car '14WHITE', Person 'A'",2
1720,"NNP GZC Car '14WHITE', Person 'A'",3
1561,"NNP GZC Car '14WHITE', Person 'A'",1
1178,"NNP GZC Car '11WHITE', Person 'A'",2
1841,"NNP GZC Car '13WHITE', Person 'B'",2
1539,"NNP GZC Car '14WHITE', Person 'A'",1
1985,"NNP GZC Car '14WHITE', Person 'A'",1
1656,"NNP GZC Car '15WHITE', Person 'A'",2
1922,"NNP GZC Car '14WHITE', Person 'A'",1
225,"NNP GZC Car '13WHITE', Person 'B'",1
1764,"NNP GZC Car '11WHITE', Person 'A'",1
290,"NNP GZC Car '13WHITE', Person 'B'",1
1851,"NNP GZC Car '13WHITE', Person 'B'",1
1484,"NNP GZC Car '14WHITE', Person 'A'",1
1845,"NNP GZC Car '13WHITE', Person 'B'",1
1210,"NNP GZC Car '11WHITE', Person 'A'",4
1826,"NNP GZC Car '11WHITE', Person 'A'",4
1652,"NNP GZC Car '15WHITE', Person 'A'",2
1158,"NNP GZC Car '13WHITE', Person 'A'",1
987,"NNP GZC Car '11WHITE', Person 'A'",1
1651,"NNP GZC Car '15WHITE', Person 'A'",8
1656,"NNP GZC Car '15WHITE', Person 'C'",1
1552,"NNP GZC Car '14WHITE', Person 'A'",2
1550,"NNP GZC Car '14WHITE', Person 'A'",2
1835,"NNP GZC Car '10WHITE', Person 'A'",2
1755,"NNP GZC Car '12WHITE', Person 'A'",1
1854,"NNP GZC Car '13WHITE', Person 'B'",1
1928,"NNP GZC Car '14WHITE', Person 'A'",1
789,"NNP GZC Car '11WHITE', Person 'A'",2
1269,"NNP GZC Car '12WHITE', Person 'A'",1
1766,"NNP GZC Car '12WHITE', Person 'A'",1
1306,"NNP GZC Car '12WHITE', Person 'A'",1
1838,"NNP GZC Car '13WHITE', Person 'B'",2
9,"NNP GZC Car '13WHITE', Person 'B'",2
172,"NNP GZC Car '12WHITE', Person 'A'",1
1697,"NNP GZC Car '14WHITE', Person 'A'",1
132,"NNP GZC Car '13WHITE', Person 'A'",1
1283,"NNP GZC Car '12WHITE', Person 'A'",1
1532,"NNP GZC Car '14WHITE', Person 'A'",1
1485,"NNP GZC Car '14WHITE', Person 'A'",1
1450,"NNP GZC Car '15WHITE', Person 'A'",4
790,"NNP GZC Car '15WHITE', Person 'A'",1
1916,"NNP GZC Car '14WHITE', Person 'A'",1
1760,"NNP GZC Car '12WHITE', Person 'A'",1
992,"NNP GZC Car '11WHITE', Person 'A'",1
51,"NNP GZC Car '11WHITE', Person 'A'",2
1478,"NNP GZC Car '14WHITE', Person 'A'",2
1649,"NNP GZC Car '15WHITE', Person 'A'",2
1686,"NNP GZC Car '14WHITE', Person 'A'",2
1540,"NNP GZC Car '14WHITE', Person 'A'",2
49,"NNP GZC Car '11WHITE', Person 'A'",2
1012,"NNP GZC Car '11WHITE', Person 'A'",2
1645,"NNP GZC Car '15WHITE', Person 'A'",1
1923,"NNP GZC Car '14WHITE', Person 'A'",1
1990,"NNP GZC Car '11WHITE', Person 'A'",2
934,"NNP GZC Car '13WHITE', Person 'B'",1
1836,"NNP GZC Car '10WHITE', Person 'A'",1
1802,"NNP GZC Car '14WHITE', Person 'A'",1
273,"NNP GZC Car '15WHITE', Person 'A'",6
1804,"NNP GZC Car '14WHITE', Person 'A'",1
1495,"NNP GZC Car '14WHITE', Person 'A'",1
1995,"NNP GZC Car '14WHITE', Person 'A'",2
542,"NNP GZC Car '14WHITE', Person 'A'",3
1151,"NNP GZC Car '13WHITE', Person 'B'",1
1846,"NNP GZC Car '14WHITE', Person 'A'",2
1840,"NNP GZC Car '13WHITE', Person 'B'",2
1385,"NNP GZC Car '11WHITE', Person 'A'",2
984,"NNP GZC Car '12WHITE', Person 'A'",1
935,"NNP GZC Car '13WHITE', Person 'B'",2
1850,"NNP GZC Car '13WHITE', Person 'B'",1
1837,"NNP GZC Car '13WHITE', Person 'B'",1
1825,"NNP GZC Car '11WHITE', Person 'A'",2
1827,"NNP GZC Car '11WHITE', Person 'A'",1
237,"NNP GZC Car '15WHITE', Person 'A'",1
1482,"NNP GZC Car '14WHITE', Person 'A'",2
1844,"NNP GZC Car '13WHITE', Person 'B'",1
1278,"NNP GZC Car '11WHITE', Person 'A'",1
2181,"NNP GZC Car '11WHITE', Person 'A'",2
225,"NNP GZC Car '13WHITE', Person 'A'",1
1762,"NNP GZC Car '12WHITE', Person 'A'",1
112,"NNP GZC Car '11WHITE', Person 'A'",6
404,"NNP GZC Car '14WHITE', Person 'A'",2
1694,"NNP GZC Car '14WHITE', Person 'A'",4
1832,"NNP GZC Car '11WHITE', Person 'A'",1
365,"NNP GZC Car '12WHITE', Person 'A'",1
405,"NNP GZC Car '14WHITE', Person 'A'",1
1822,"NNP GZC Car '11WHITE', Person 'A'",2
1481,"NNP GZC Car '14WHITE', Person 'A'",2
1175,"NNP GZC Car '12WHITE', Person 'A'",1
1175,"NNP GZC Car '13WHITE', Person 'B'",3
9,"NNP GZC Car '11WHITE', Person 'A'",1
1971,"NNP GZC Car '14WHITE', Person 'A'",2
1770,"NNP GZC Car '15WHITE', Person 'A'",3
903,"NNP GZC Car '10WHITE', Person 'A'",1
1716,"NNP GZC Car '12WHITE', Person 'A'",1
1642,"NNP GZC Car '15WHITE', Person 'A'",2
317,"NNP GZC Car '15WHITE', Person 'A'",1
1809,"NNP GZC Car '14WHITE', Person 'A'",1
1179,"NNP GZC Car '13WHITE', Person 'A'",2
1849,"NNP GZC Car '13WHITE', Person 'B'",1
1921,"NNP GZC Car '14WHITE', Person 'A'",2
172,"NNP GZC Car '11WHITE', Person 'A'",4
1688,"NNP GZC Car '11WHITE', Person 'A'",1
487,"NNP GZC Car '11WHITE', Person 'A'",2
1765,"NNP GZC Car '12WHITE', Person 'A'",1
1660,"NNP GZC Car '10WHITE', Person 'A'",4
146,"NNP GZC Car '13WHITE', Person 'B'",2
1658,"NNP GZC Car '15WHITE', Person 'A'",2
1558,"NNP GZC Car '14WHITE', Person 'A'",2
1534,"NNP GZC Car '14WHITE', Person 'A'",1
146,"NNP GZC Car '13WHITE', Person 'A'",2
74,"NNP GZC Car '11WHITE', Person 'A'",5
1157,"NNP GZC Car '13WHITE', Person 'A'",1
790,"NNP GZC Car '11WHITE', Person 'A'",2
1150,"NNP GZC Car '11WHITE', Person 'A'",4
792,"NNP GZC Car '15WHITE', Person 'A'",3
1832,"NNP GZC Car '13WHITE', Person 'B'",1
132,"NNP GZC Car '13WHITE', Person 'B'",4
1659,"NNP GZC Car '11WHITE', Person 'A'",5
1759,"NNP GZC Car '12WHITE', Person 'A'",1
1177,"NNP GZC Car '11WHITE', Person 'A'",3
1269,"NNP GZC Car '13WHITE', Person 'B'",1
310,"NNP GZC Car '15WHITE', Person 'A'",1
1477,"NNP GZC Car '14WHITE', Person 'A'",2
23,"NNP GZC Car '12WHITE', Person 'A'",1
1816,"NNP GZC Car '11WHITE', Person 'A'",3
1480,"NNP GZC Car '14WHITE', Person 'A'",2
1764,"NNP GZC Car '12WHITE', Person 'A'",1
74,"NNP GZC Car '13WHITE', Person 'B'",2
1763,"NNP GZC Car '12WHITE', Person 'A'",1
1837,"NNP GZC Car '13WHITE', Person 'A'",1
1655,"NNP GZC Car '15WHITE', Person 'A'",12
1756,"NNP GZC Car '12WHITE', Person 'A'",1
1831,"NNP GZC Car '11WHITE', Person 'A'",1
1556,"NNP GZC Car '14WHITE', Person 'A'",1
985,"NNP GZC Car '13WHITE', Person 'B'",2
1527,"NNP GZC Car '14WHITE', Person 'A'",1
717,"NNP GZC Car '14WHITE', Person 'A'",3
1924,"NNP GZC Car '14WHITE', Person 'A'",1
2169,"NNP GZC Car '14WHITE', Person 'A'",1
166,"NNP GZC Car '15WHITE', Person 'A'",2
1721,"NNP GZC Car '14WHITE', Person 'A'",2
1758,"NNP GZC Car '12WHITE', Person 'A'",1
1168,"NNP GZC Car '12WHITE', Person 'A'",1
1535,"NNP GZC Car '14WHITE', Person 'A'",1
1158,"NNP GZC Car '13WHITE', Person 'B'",2
1508,"NNP GZC Car '14WHITE', Person 'A'",1
1179,"NNP GZC Car '13WHITE', Person 'B'",1
1912,"NNP GZC Car '14WHITE', Person 'A'",1
1911,"NNP GZC Car '14WHITE', Person 'A'",2
1648,"NNP GZC Car '15WHITE', Person 'A'",2
1479,"NNP GZC Car '14WHITE', Person 'A'",2
890,"NNP GZC Car '14WHITE', Person 'A'",1
1624,"NNP GZC Car '14WHITE', Person 'A'",1
1146,"NNP GZC Car '13WHITE', Person 'B'",1
1206,"NNP GZC Car '12WHITE', Person 'A'",1
1563,"NNP GZC Car '14WHITE', Person 'A'",2
1623,"NNP GZC Car '14WHITE', Person 'A'",1
1148,"NNP GZC Car '13WHITE', Person 'A'",2
1848,"NNP GZC Car '13WHITE', Person 'B'",1
1819,"NNP GZC Car '11WHITE', Person 'A'",3
1514,"NNP GZC Car '14WHITE', Person 'A'",1
1815,"NNP GZC Car '11WHITE', Person 'A'",4
2036,"NNP GZC Car '13WHITE', Person 'B'",1
1559,"NNP GZC Car '14WHITE', Person 'A'",1
1843,"NNP GZC Car '13WHITE', Person 'B'",2
1657,"NNP GZC Car '15WHITE', Person 'C'",1
1042,"NNP GZC Car '11WHITE', Person 'A'",2
995,"NNP GZC Car '12WHITE', Person 'A'",1
1830,"NNP GZC Car '11WHITE', Person 'A'",1
378,"NNP GZC Car '14WHITE', Person 'A'",1
60,"NNP GZC Car '13WHITE', Person 'B'",3
995,"NNP GZC Car '11WHITE', Person 'A'",4
796,"NNP GZC Car '11WHITE', Person 'A'",1
1828,"NNP GZC Car '11WHITE', Person 'A'",2
1653,"NNP GZC Car '15WHITE', Person 'B'",1
953,"NNP GZC Car '12WHITE', Person 'A'",1
1650,"NNP GZC Car '15WHITE', Person 'A'",1
1269,"NNP GZC Car '13WHITE', Person 'A'",2
1823,"NNP GZC Car '11WHITE', Person 'A'",2
1815,"NNP GZC Car '13WHITE', Person 'B'",1
1654,"NNP GZC Car '15WHITE', Person 'A'",3
1839,"NNP GZC Car '13WHITE', Person 'B'",3
789,"NNP GZC Car '10WHITE', Person 'A'",1
1914,"NNP GZC Car '14WHITE', Person 'A'",1
1834,"NNP GZC Car '10WHITE', Person 'A'",3
681,"NNP GZC Car '14WHITE', Person 'A'",1
1829,"NNP GZC Car '11WHITE', Person 'A'",1
1821,"NNP GZC Car '11WHITE', Person 'A'",2
543,"NNP GZC Car '14WHITE', Person 'A'",1
380,"NNP GZC Car '14WHITE', Person 'A'",1
727,"NNP GZC Car '14WHITE', Person 'A'",1
148,"NNP GZC Car '12WHITE', Person 'A'",1
1757,"NNP GZC Car '12WHITE', Person 'A'",1
74,"NNP GZC Car '13WHITE', Person 'A'",3
1803,"NNP GZC Car '14WHITE', Person 'A'",1
1521,"NNP GZC Car '14WHITE', Person 'A'",1
395,"NNP GZC Car '14WHITE', Person 'A'",1
1799,"NNP GZC Car '14WHITE', Person 'A'",1
1644,"NNP GZC Car '15WHITE', Person 'A'",3
2165,"NNP GZC Car '14WHITE', Person 'A'",1
1502,"NNP GZC Car '14WHITE', Person 'A'",2
1847,"NNP GZC Car '13WHITE', Person 'B'",1
792,"NNP GZC Car '11WHITE', Person 'A'",2
667,"NNP GZC Car '14WHITE', Person 'A'",1
1998,"NNP GZC Car '11WHITE', Person 'A'",2
210,"NNP GZC Car '10WHITE', Person 'A'",3
1175,"NNP GZC Car '13WHITE', Person 'A'",2
1641,"NNP GZC Car '15WHITE', Person 'B'",1
1856,"NNP GZC Car '14WHITE', Person 'A'",3
585,"NNP GZC Car '14WHITE', Person 'A'",2
